时间,文本,识别结果,消极概率,积极概率,IP地址
2024-04-23,楼主能不能推点类似的纯爱唯美动漫啊，昨天看完声之形、你的名字、天气之子，现在好上头啊……至于对这些动漫的看法的话，我自己一直都是取其精华剔其糟粕这样的看法的，没有什么东西是完美的，不要太苛刻，能从一样事物里面获得你喜欢的东西已经不错了,积极,0.37,0.63,广东
2024-04-23,"1、文学作品也是有时代的局限性的，肯定其文学价值不等于认同作品表达的一切观点。
2、尊重物种多样性。
3、反正我是接受不了。",消极,1.0,0.0,上海
2024-04-23,复活有阶层矛盾，声之形有吗,消极,0.71,0.29,安徽
2024-04-23,首先给你说，受害者爱上加害者本身就不是正常人能接受的剧情，尤其是校园霸凌这部分，声之形受害者自己觉得自己是个fw，别人欺负自己都无所谓，加害者因为事情败露被卖反省，然后想对受害者好然后被喜欢上。非自然死亡里面的校园霸凌就是无法惩治霸凌者，所以受害者用自杀的方式来让别人惩罚加害者，这种剧情都是这么写的悲剧的，谁几把跟声之形一样写着成爱情理解了,消极,0.65,0.35,陕西
2024-04-23,简单，像《君之匕首》里一样，罪有应得甚至付出生命的代价就行,消极,0.93,0.07,江西
2024-04-23,再说一句，校园霸凌只有一个结局，受害者在接受加害者的欺凌，身心俱损的情况下求助他人最终曝光惩治。硝子本身病态的自毁就不是该有的，还有加害者不停的纠缠受害者然后互相理解的，把校园霸凌看得跟小孩子打闹一样简单,消极,0.92,0.08,陕西
2024-04-23,所以有人吹复活是反80神作吗？,中性,0.48,0.52,四川
2024-04-23,受害者真正认识到了错误，诚心悔过，不搞施舍自我感动那一套就行，至于有没有受到法律的惩罚要贴合故事背景来看，有些人是为了声讨而声讨，不必理会,消极,0.94,0.06,山东
2024-04-23,女主不该由加害者男主拯救，要么自救要么塑造另外一个角色,消极,0.95,0.05,广东
2024-04-23,为什么是原谅加害者？在我看来是互相救赎,消极,0.97,0.03,广东
2024-04-23,因为现实生活中搞校园霸凌是很困难的，一个男生这么欺负一个普通女生更是闻所未闻。,消极,0.97,0.03,黑龙江
2024-04-23,文学作品没问题，文学这玩意有一套自己的评价标准，作为面相大众的普通作品我只能评价烂,消极,0.96,0.04,福建
2024-04-23,时代不一样啊，这个很关键啊，以前人人和地位都不同，观念也不同,消极,0.98,0.02,广东
2024-04-23,我从始至终都认为这电影的主题是交流，至于8零，我认为他少了点儿，印象中施暴的不止男主自己，可遭受惩罚就只有男主了,消极,0.99,0.01,山东
2024-04-23,相信我，大家不接受只有一个原因——你TM悔过的不够。,消极,0.96,0.04,安徽
2024-04-23,霸凌者永远不配得到原谅，我的普世价值观让我得到这个结论，至于男主，死不死的先不提。有多远滚多远就好,消极,0.92,0.08,山东
2024-04-23,跳楼往水池跳我没绷住,消极,0.92,0.08,吉林
2024-04-23,？这小说也不是纯讲欺凌的啊，你拿一个内涵丰富的小说和只有欺凌一个主题的声之形比对欺凌的处理是否有点，要这么说那红楼梦就等于宝黛爱情故事喽聂赫留朵夫如何在颠沛流离中和不同身份阶层的人接触，这些被时代造就的人如何改变了他的观念，最后他甚至在封建时期就觉醒了较基础的g/c/z/y/思想这些部分你是一个字也没看进去啊,消极,0.99,0.01,北京
2024-04-23,名著和一般作品不是一个维度的,消极,0.97,0.03,广西
2024-04-23,都不是一个时代的如果都是21世纪的东西而且是一种类型的再说这基本上和拿鲁迅去说爱猫没什么区别,消极,0.99,0.01,江苏
2024-04-23,我觉得功力很重要，还能有点人维护一下作者不是一边倒的骂。因为有的人可以看了一点，然后带着幻想歪曲部分情节接着开贴输出，或者说一半真开贴骂，没看过的评论谢谢避雷跟着输出。有的看到中立概述觉得这题材恶心已经开始输出了。以上是我看到一些动漫化时部分贴吧情况。作者功力再好又能怎么办，不看就不能输出了？更别说功力不好了,消极,0.97,0.03,广西
2024-04-23,出现这种情况只能说，电影没编好，声之形更适合做成TV动画，电影省略太多东西了。,消极,0.87,0.13,北京
2024-04-23,很多人根本没看过声之形就开始黑了甚至一部分看过的还是删减过的版本。声之形本质就是男女主的成长故事，至于其他霸凌者没受到惩罚，心理上根本没悔改这件事，反倒提高了作品的高度，表面朋友罢了,消极,0.96,0.04,广东
2024-04-23,我感觉这个可比声之形还要恶劣多了，声之形跟这个比是真的小巫见大巫，当然，读者只会把这个说成经典，毕竟文学还是比轻小说文高贵的,消极,0.99,0.01,河南
2024-04-23,原谅***，你是小时候没被那些人恶心过是吧,消极,0.9,0.1,江苏
2024-04-23,哪怕是名著，也是存在它的时代局限性的…,消极,0.91,0.09,山东
2024-04-23,声之行动画组做的不错。但是我是上学被霸凌过的，所以对男主这种人心里是十分厌恶的，尤其在女主是残疾人的情况下，更觉得男主不是东西。,消极,0.82,0.18,湖北
2024-04-23,我觉得都挺逆天的,积极,0.29,0.71,湖南
2024-04-23,我看复活那会是真羡慕聂的生活，真的太人上人了。声之形的男主好歹后面还遭了不少罪，聂前期真的是那种上层阶级的自我感动，到后面觉醒了开始同期普罗大众分地给农民才真的成长了。,消极,0.99,0.01,山西
2024-04-23,洗霸凌的人，祝你遇到你命中的那三个活埋小子,消极,0.97,0.03,天津
2024-04-23,就算是大文豪写的，该是💩还是💩,积极,0.33,0.67,上海
2024-04-23,我觉得同样是一受害者爱上霸凌者这个游戏写得挺好的,积极,0.08,0.92,美国
2024-04-23,一三五声之形二四六龙与虎 周日手游大乱斗 没活了是吧,消极,0.97,0.03,日本
2024-04-23,大概因为京阿尼的世界观里都不存在里世界和表世界，像寂静岭这些世界观设定才有。,消极,0.98,0.02,广东
2024-04-23,其实霸凌题材的黑暗荣耀就好评如潮，受害者其实基本不会爱上施暴者，恨意是不会轻易消散的。,中性,0.51,0.49,浙江
2024-04-23,中国式主角确实比较关注怎么啥人全价,消极,0.97,0.03,山西
2024-04-23,单看你这段描述，我觉得俩都可以被骂，但是复活我记得加害者受到了应有的惩罚吧 好久以前看的了，我对人名记得很差导致剧情也顺不下来。再说声之形吧，我觉得应该有个原则，就是可以原谅但是不能轻易原谅，复活我记得就是这样加害人也收到了应有的惩罚然后被原谅，而西宫硝子她压根就没原谅的前提，也就是恨意，她觉得都是自己的错，将也因为施暴后的良心发现而开始挽回与救赎，西宫硝子呢，她看到了男主对她挽回的真情就恋上了，所以本身没有正常该有的那种加害者与被害人的立场关系，可以说霸凌只是他俩组成关系的一个纽带而不是距离的纽带，最后也就是一段普普通通的恋爱了,消极,0.99,0.01,山东
2024-04-23,我的评价是你好歹刻画一下前者的后悔和痛苦，对自己罪孽的沉痛悔过（或者刻画一下后者被前者的忏悔行为逐渐软化）而且要有详细的过程。这样这部作品就在这个层面合格了。但部分观众接受不了也很正常（毕竟能不能原谅本身就是看在人眼里“现在的帮助大于或小于过去的痛苦”而且本质上现在的也改变不了过去已经发生的，但这不是什么哲学命题，文艺作品能做到这份上就够了）也如果直接套个谈恋爱的皮开始原谅，全程谜语人，对自己的忏悔和耍小孩子性子差不多，那真是笑嘻了,消极,0.99,0.01,湖北
2024-04-23,"今天刚在b站看到一个讲声之形的，感觉挺有道理
BV1XF4m1w7nj",消极,0.96,0.04,上海
2024-04-23,能写好，但写的再好都会有人骂，因为总有人不会好好看或看完再评论。,消极,0.65,0.35,广东
2024-04-23,我觉得还好，毕竟男主也确实把自己犯的错都自己吃了一遍，受害者也原谅了，怎么不能给一个重新来过的机会比起男主，我觉得声之形那些配角问题更大吧，明明同样也是施暴者（不仅是女主的，还是男主的），却完全没收到惩罚，甚至结束的时候跟没事人一样合家欢了，让人作呕尤其是那个绿茶,消极,0.99,0.01,四川
2024-04-23,只看文字描述就感觉到社会环境完全不同，当然我没看过原著但给我一种高位者自我感动的感觉，我也无法共情。作为曾经的bl者，我只能说我会弥补我作的错，但是如果对方对我表达感谢甚至爱慕我会感觉她斯德哥尔摩,消极,0.99,0.01,重庆
2024-04-23,"写不好，我初中被人80过，成绩又差社交又烂，然后进入循环，重点是你被80老师同学都是睁一只眼闭一只眼的
我后来受不了就辍学了，运气好沾到计算机的尾风，现在在写游戏服务器，生活上问题不大，但是前几天知道80过我的一个同学当兵混得风生水起，你现在去攻击他，怕是要被舆论也不会支持我，心理更加不平衡了",消极,0.99,0.01,江苏
2024-04-23,"我没看过复活，单凭你的讲诉的话。我觉得复活里面女主拒绝嫁给男主就说明女主已经彻底原谅男主了，因为男主很明显不爱女主，他只是为了能让自己安心所以去对女主进行“付出”，但是女主拒绝了他的“付出”，这意味着女主已经认为自己不需要再得到男主的道歉了，是真正原谅了男主。
但是声之形里并没有真正对施暴者进行反思的内容，声之形只是让施暴者长大后带着愧疚的心去接触女主，而且拉高了施暴时和后续接触时的反差，表现出来的是一种作者层面的对施暴者的宽恕，声之形的女主角更像是作者的传声筒，作者不仅从人设上覆盖掉了施暴者施暴时那会的人设，还让施暴者一直对女主“付出”，这根本不是在对以前的事进行一个了结，而是在现在祈求谅解，他们没有真正面对施暴这个事情，只是希望自己以后的所作所为让受害者不会追究，还表现出自己并不是只有“恶”的一面（这就是为什么要写人设覆盖），从作者层面上他就想写的是“受害者不追究施暴者”而不是“受害者对以前的事释怀原谅施暴者”，表现出来的就是一种纯纯的躬匠精神。我以前做错了，但是那是我以前不懂事，我其实并不是故意做错的，我其实还有好的一面，我现在补偿你，希望你不要追究我的过错，这就是《声之形》展示的。
但是复活又不同，从你口中的结婚可以看出，复活的男主是抱着用一生去补偿女主的念头去补偿女主的，他愿意用自己的一生去救赎被自己的年少轻狂伤害了的人，他这根本不是在祈求女主的原谅，这是在祈求自己内心的原谅，这才是从内心上的对自己的行为反悔，对自己的行为羞愧。和声之形里的觉悟完全不是一个级别的。",消极,0.99,0.01,重庆
2024-04-23,声之形很久之前看的，比起是受害者和加害者的故事更像是两个受害者的故事，很多人忘了男主其实是个被霸凌到想要自杀的人,消极,0.83,0.17,浙江
2024-04-23,那部感觉还行吧，男女主互相救赎不算单方面的谁原谅谁,积极,0.32,0.68,广西
2024-04-23,我觉得可以,中性,0.41,0.59,广西
2024-04-23,虽然日本人画的不行，但托尔斯泰也不是什么好东西,消极,0.97,0.03,山东
2024-04-23,复活什么时代背景？托尔斯泰什么高度？,消极,0.97,0.03,江苏
2024-04-23,男主的坏更多是无知的坏，和周围那几个还是有不同的，现实中这两种人我都遇过，像男主这种人长大后自然会懂事，也不需要像动画里一样被被别人欺凌一遍才会明白。只不过男主受了这些罪提前明白了而已。一个本性并不坏的人，因为无知做了一些错事，之后悔改道歉和补偿，我觉得男主已经完成赎罪了。至于复活的男主就算了吧，小学生和青年还是有区别的。将也是从动物变成好人，他周围那些同学尤其是老师自始至终都是恶人，聂赫留朵夫是从恶人变成好人,消极,1.0,0.0,广东
2024-04-23,这两个行为逻辑不一样的作品你能放在一起比就很逆天，再加上这是两个不同时代背景的作品来对比就更逆天了，往前推个几千年有人被选为宗教仪式的活祭品还能感恩戴德，你放在现在能行吗？,消极,0.88,0.12,江苏
2024-04-23,建议京阿尼爱上烧京阿尼的那个,中性,0.51,0.49,贵州
2024-04-23,什么垃圾剧情,消极,0.96,0.04,广西
2024-04-23,声之形男主认识到自己错了，也努力去赎罪了，这很好。问题在于女主有很严重的斯德哥尔摩倾向，我认为男主没有资格接受女主的爱，这实际上是一种不平等条件下产生的感情，我很难接受这个,积极,0.39,0.61,浙江
2024-04-23,能不能原谅是女主的事，也只有女主自己有这个权利决定，只要她愿意就可以原谅，她愿意就可以不原谅，其他任何人都没有资格替她决定，她觉得可以原谅，别人就没有资格说她的选择有问题。,消极,1.0,0.0,浙江
2024-04-23,你写这个剧情当然没问题，因为西宫硝子太温柔太温柔了，她从头到尾都是不在乎自己受伤的那种人，所以将也才有机会弥补，同时将也也确实真心悔过想让西宫硝子过的快乐，所以可以接受。但是里面最重要的是西宫硝子的温柔，而不是将也的悔过,消极,1.0,0.0,福建
2024-04-23,我倒是很喜欢的,积极,0.17,0.83,云南
2024-04-23,不知道，只知道当初那位抗日奇侠没把牢京整个送走太可惜了,消极,0.98,0.02,重庆
2024-04-23,醉翁之意不在酒，很多人本身就只是想借个复仇之名罢了,消极,0.96,0.04,北京
2024-04-23,"复活要看历史背景，在那个时代，被强奸过的女性太容易被其他男性排斥和贬低，如果强奸者能够承认错误并且本身条件不错，让两人结婚可以算得上是一种对被***性的救济措施
但是现在时代不同了，在印度中东那一带现在还有这样的习惯，你看出了这种事网上有夸的吗？
而且具体到这部动画，受害人原谅加害人我是可以接受的，但爱上对方就扯淡了。爱上一个陌生人不是什么一定需要理由的事，但爱上曾经加害自己的人，没有充分逻辑支持是不能被接受的，而这样的理由在剧情里表现的非常牵强，就是为这碟醋包了这顿饺子，那观众自然不买账",消极,0.98,0.02,上海
2024-04-23,全篇又不是只有两个人，就单说这个故事里男主已经算比较正常的人了,消极,0.73,0.27,上海
2024-04-23,"有一些长篇大论分析的人脑子里想的是不要在虚拟里寻找现实，大析特析两个人之间的爱情文学和讽刺意味，而有些相似经历的人看到情节发展就像是自己内心最深处被挖出来狠狠地甩在脸上，心跳加速，热血上涌，呼吸急促，恨不得回到当初那个时候做出狠狠的反击，正如作品里被害者随着时间和剧情的发展会爱上加害者，部分现实里的被害者也因为时间的流逝和不断向前永不倒退的现实生活改变了，这些人只能永远把怒火和仇恨埋藏在心，或许在某个夜晚被惊醒，但绝不会爱上加害者。
当然作品是作品，想怎么写就怎么写，有的人觉得akkbkg也很合理，但是你要拉扯到现实那不好意思，你寻找现实了那现实也会缠上你，在你主动和被动接受每一个信息时",积极,0.09,0.91,四川
2024-04-23,傻布剧情，我燥他妈，什么精神病患者，什么未成年犯罪，只要侵犯了他人的健康权和人身权益都该去死明白吗？一帮写文章的唧唧歪歪好像写了个多了不起的故事似的，看得我反胃,消极,1.0,0.0,浙江
2024-04-23,只要你是个正常人类都不会觉得声之形是人能看的,消极,0.95,0.05,天津
2024-04-23,不喜欢直接转化为不好，这种判断能力得出的结论没有什么参考价值,中性,0.55,0.45,山西
2024-04-23,追夫火葬场的作品，90%的观众都会希望男主选其他人而不是选择霸凌男主的女一，性别换了也是一样的。声之形这种结局换网文里是要被喷死的,消极,0.99,0.01,广西
2024-04-23,声之形不是加害受害的问题，它说的是“校园暴力”的问题。因为这个话题跟现代人关系太大，你觉得可以接受或不可以接受都跟你的经历有关。我是觉得拿“爱情”来掩盖“校园暴力”的表现手法接受不了。,消极,1.0,0.0,上海
2024-04-23,如果声之形只有男主这一个加害人，可能差评不会那么多，关键在于还有其他人，而且是主要人物，还死不悔改，连带着把男主的风评一起拉低了……这片子就是少了小南极里面女主让那些出名就来攀关系的同学滚蛋的场景……太执着于和解，而且还是受害人来和解加害人，这没人接受得了……,消极,0.99,0.01,湖南
2024-04-23,我不觉得写不好声之形本身在我看来就写的不错，但有些人就是接受不了这种事，跟谁写出来关系不大,消极,0.9,0.1,广东
2024-04-23,"一个不完美的，甚至做过恶还能讨人喜欢的主角是很多的。日漫里有大量经典的例子。为什么唯独《声之形》受到了批判？
首先第一点，“校园霸凌”这个元素离现实太近（近的事件不说了），如果处理不好，没有充分认识到80行为的本质，从而从一个言之有理的角度切入的话（不是看不得有坏人，而是看不得作者把坏人当做好人，颠倒黑白），容易受到观众反感；
再有就是人物塑造；主角的塑造是没什么问题的，思想转变足够合理，自我批判的力度够深，全片也并没有洗白石田，他一直都是承认罪行的状态，这是一个能让观众理解的典型的“由负数到零”的成长型角色。问题出在女主身上。女主爱上80者，这是全片的一个大雷点。这跟大伙吐槽“国产剧第几集谈恋爱”一个道理，无论什么事都能甜甜发糖，然后狠狠收割cp党的米。而且爱上一个80者，真是太酷啦！颇有一种xxs黑化无病呻吟的美感。有人要说了，女主可能有哥德斯尔摩综合征，男主是个很温柔的人，女主缺爱，三点合一，爱上男主很合理啊。这里不是eva，它不是一部展现心理学知识的片子，而是一部大众向的片子。它想要展现的是80给人带来的伤害，而不是为了展现80给人带来的心理学影响；那么人物的行为逻辑也应该正常一些；即使出现这样的情节，也应该借其他角色之口来批判，使得情节合理化。
本片的另一个问题来自于植野。实际上，声之形的主题不是反对校园80，而是借80宣扬相互理解的理念。这个主题由植野批评女主“你也给大家带来了很多麻烦”开始，到最后日式包饺子结束。相比于石田一直处在赎罪的状态，植野才是真正被洗白的80者。为什么洗白不成功，因为女主给人带来的麻烦与女主受到的伤害不成正比。直到最后，植野仍未承认自己的错误，而是用傲娇的性格搪塞了过去，逃避了对于这个角色的的批判，全片就在这样一种诡异的和平中结束了。
作为创作者，要清楚自己在创作什么，什么是角色的三观，什么是作者的三观。声之形是典型的角色三观与作品思想混杂在一起的作品。角色的三观引导他在故事中的行为逻辑，作者的三观引导着作者对人物的描写角度。孔子写春秋，对于杀人的行为，有的用“杀”，有的则用“弑”，没有改动角色的行为，情感倾向却完全不同了。打个比方，有人发了一段逆天发言，这时你选择？①把逆天发言原封不动复制过来②复制逆天发言，对其进行批判③说xxx在某处发布了这样的言论：“xxx的逆天发言”。②③都是没问题的，但你选①的话，别怪大伙骂你。
最后，多看死亡笔记，分析分析里面是怎么处理月的，这样就知道如何处理反派角色不会使作品遭到反感了",消极,0.99,0.01,广西
2024-04-23,卧槽，B吧竟然没有定风向，知道时代背景不一样,消极,0.91,0.09,广西
2024-04-23,受害者本人当然有原谅的权利反而其他去剥夺这种权利才是另一种加害,消极,0.95,0.05,江苏
2024-04-23,作品里的原谅情节接受度取决于笔力和读者的情感共鸣程度，也就是读者自身是否原谅加害人，而现实里完全取决于受害者当事人的想法，旁观者接不接受没有影响,消极,0.99,0.01,日本
2024-04-23,没看过声之形，光看描述确定不是什么斯德哥尔摩吗,消极,0.98,0.02,广东
2024-04-23,"剧情走向是没问题的，但是到了角色身上就坏了。
角色没有悔过的想法，一切都是自我感动。对受害者没有任何帮助。",消极,0.99,0.01,江苏
2024-04-23,你看风情不摇晃看多了？,消极,0.97,0.03,辽宁
2024-04-23,下面的人一边深恶痛绝霸凌感觉很正义，一边又对意见相反的人恶言相向，还拿纵火犯说事。只能说太割裂了,消极,0.98,0.02,内蒙古
2024-04-23,有没有可能一部作品要从背景，内核，乃至作者文笔综合考虑的？继扑街写手写破鞋碰瓷金庸现在又到了声之形碰瓷列夫托尔斯泰了？要说原谅你怎么不洗之前那个缉堵警未婚妻的爱上堵贩的那个？,消极,1.0,0.0,四川
2024-04-23,结合时代看背景吧，不同的时代有着不同的审美和看法，结合现在基本上所有的bl来看基本都是恶，没有赎罪，只有受害者受伤，至于那些人什么事没有，甚至忘记了这件事，过着开心的日子。就从这点来看，声之形就是意淫的产物，没有结合实际，脱离实际来看，动画质量还是很高的。,消极,0.99,0.01,新疆
2024-04-23,"《复活》不可避免地有时代局限性，且列翁表达的中心不会是这种浅层意思。
但是日本子是战后就喜欢搞这种圣母一套，归根到底还是战败卖惨的心态作祟。",消极,0.74,0.26,澳大利亚
2024-04-23,我觉得声之形里女主原谅男主还好，因为男主也遭报应了的，并且后面也确实在赎罪,消极,0.94,0.06,重庆
2024-04-23,可以写的吧，施暴者要承受一次同态复仇或是承受受害者一倍以上的痛苦，然后受害者能接受就行。,消极,0.96,0.04,广东
2024-04-23,逆天，现在邯郸那事还不知道吗？让被霸凌的人原谅并且爱上霸凌者，这不是你们最喜欢嘲讽的女频霸道总裁爱上我吗？怎么现在又来说好看了，宅男能不能别那么双标,积极,0.27,0.73,湖南
2024-04-23,"浪子回头的前提是浪子没有浪过头，浪过头那还是死在沙滩上比较好。
总之就是，具体情况具体分析。这个剧情发生的背景大环境、受害人和加害人双方的人设、作者本人的文字功底、作品本身的题材等等等等都是影响观感的因素。
像题目中“受害者爱上加害者”这种剧情与其说是“写不好”不如说是“不好写”，不然为什么类似的剧情，托尔斯泰能写出让大部分人看完后觉得剧情逻辑没什么大问题的《复活》，而《声之形》却没办法做到呢？
不过有一说一这作者何德何能要和托尔斯泰放一起比较啊",消极,0.62,0.38,河北
2024-04-23,你这样说的话，鲁滨逊还贩卖黑奴呢。名著里的主人公本来就不一定是正面角色，洛丽塔也是名著，也不妨碍人们批判他。复活的主人公不就是应该被批判的吗？不犯罪的人还比不上犯罪的人了，这不是一件可笑的事吗？色戒也是名著啊？你觉得色戒里的女主没被人批判过吗？总之，爱情，奥，爱情是最伟大的，一切都能被所谓的爱情洗白。所以西门庆和潘金莲是正派，武松是反派，因为他破坏了爱情的自由啊。,消极,0.99,0.01,安徽
2024-04-23,只能说编剧低估了大众对于霸凌的厌恶，即使霸凌情节并不是编剧主要想写的，但是它出现了就必定不会让所有人满意。对于声之形，我的评价是一坨,消极,0.99,0.01,安徽
2024-04-23,确实是声之形想写但没写好，结果好多人硬要说写这种就是不对的，也是无语了，希望他们犯错也会一辈子不被原谅永远鞭尸,消极,0.99,0.01,上海
2024-04-23,楼主没必要那么认真的在讨论，那贴里都直接快进到京阿尼做了声之形就应该原谅纵火犯了。我感觉很多吧友只是想现实生活里无处释放的戾气而已,消极,0.98,0.02,江苏
2024-04-23,就是勾史,消极,0.85,0.15,安徽
2024-04-23,前一阵还有小孩被霸凌致死的事件，有多少人想把霸凌者碎尸万端。你觉得这些霸凌者可以被原谅吗？只要你做了坏事，你就是恶人，没有洗白的说法，只有你愧于良心在洗自己而已。声之形就是因为把不该洗的人洗的太白了所以才这么被恶评。而且随处可见的校园霸凌是每一位被霸凌者一生都无法忘记的痛苦记忆，被霸凌者更容易对作品里的剧情共情，而不是复活里面虚无缥缈的贵族和女仆，读者只是看个乐子,消极,1.0,0.0,辽宁
2024-04-23,声之形男主我真的觉得很ok了,积极,0.14,0.86,中国台湾
2024-04-23,光看你这个标题我都已经觉得很炸裂了😥,积极,0.39,0.61,广东
2024-04-23,你都拿沙俄时代类比现代了，那还能说什么呢,消极,0.97,0.03,上海
2024-04-23,很简单，时间会冲淡一切,消极,0.65,0.35,广西
2024-04-23,一天一贴，你们这频率是否过高了,消极,0.68,0.32,湖南
2024-04-23,喜欢加害者不是很正常🐴，什么爱上总裁爱上zbj爱上高管...,积极,0.14,0.86,贵州
2024-04-23,"别尬黑，孩子不懂事霸凌玩呢，霸凌不过只是犯个错罢了给个机会嘛。
某些人就是这个逻辑，我只能说无敌了很适合看霸道总裁爱上我的女频",消极,0.91,0.09,江苏
2024-04-23,"须直面，须忏悔，须偿还。
以上三点做到俩点我作为旁观者能接受，作为被害人要去接受原谅的话，我觉得一点都不少，但更别说还要谈恋爱了。",消极,0.91,0.09,上海
2024-04-23,我小学和初中被霸凌过，当然不是很严重，不然我今天就不能在这里发言了。如果你现在问我会不会原谅霸凌者？那我只能说我已经不在意了，我内心深处已经原谅他们了。我现在不恨他们，也不会想对他们进行复仇。,消极,0.98,0.02,广东
2024-04-23,网络暴力真可怕，还好我是施暴者,中性,0.45,0.55,湖北
2024-04-23,十六级老东西爆点金币,中性,0.48,0.52,浙江
2024-04-23,我第一次看声之形就觉得蛮恶心的，尤其最近wzy事件，越发觉得这就是乐色作品。,积极,0.1,0.9,山西
2024-04-23,龙与虎过气了？,消极,0.97,0.03,广东
2024-04-23,我觉得这类题材可以参考一下海市蜃楼之馆的里主角，和标题很像，他和里女主的故事在看完外传之后真的只能叹息一声，成功做到了让大部分看完的人一边骂他一边希望他们能幸福,消极,0.96,0.04,天津
2024-04-23,不行，加害者忏悔意识到自己的过错并且赎罪赎到受害者原谅，写到这一步写好就已经凤毛麟角了。受害者爱上加害者emmmmm无论如何我都不能接受。,消极,1.0,0.0,浙江
2024-04-23,好结局还是不错的。脑补一下可以给男主加个权阀老爹，然后开启大巴林时代,中性,0.41,0.59,福建
2024-04-23,我甚至能接受女主和男主在一起，但我不能接受其他霸凌者什么事也没有。,消极,0.93,0.07,河北
2024-04-23,无所谓，不管别人怎么认为，我还是挺喜欢这个作品的,消极,0.94,0.06,广东
2024-04-23,声之形把对硝子的霸凌写的太过火了所以观感差，如果只是停留在真的“小孩子不懂事”的程度或者让将也不参与霸凌但是冷漠旁观就会好不少,消极,1.0,0.0,福建
2024-04-23,很简单套用狐神的一句话恨罪不恨人,消极,0.89,0.11,广东
2024-04-23,楼上很多人说的都很对，脱离时代背景的泛泛而言是没有意义的，举个例子，在封建社会不让女人上桌吃饭跟现在沙东不让女人上桌吃饭是两码事，是不是看看柳永写的艳曲儿还要批判下为啥现代人写嫖妓会被骂而古代人就不会？,消极,0.99,0.01,北京
2024-04-23,教会始祖尤弥尔爱的是王（）,积极,0.14,0.86,上海
2024-04-23,毒点这玩意大部分都是文好可破,消极,0.9,0.1,辽宁
