嗯嗯，好的想法，正好给大家省事了，望保持,6080824644,ya916a,阿鱼又被演了,黑龙江
靠近叫犯罪预备，远离叫欲盖弥彰。多看一眼叫男性凝视，少看一眼叫弔丝意淫。职位少收女人叫男权压制，高危重体力工作干不了称自己是天生公主。打不过男生那是天生力量差距，骂不过男生就嫌对方言语肮脏。自己拉帮结派、党同伐异，却不许他人群起而攻之。嘴里喊着独立自主、挣脱桎梏，行动上却依旧当着寄生虫。将建国后“劳动最光荣’和“妇女能顶半边天”两面大旗弃之不顾，把改革开放中蓬勃发展的生命力遗失殆尽，只剩下光滑透明的大脑和捋不清逻辑的嘴。这哪是什么伟大光荣的运动，分明就是极端利己主义思潮的反扑。真是横竖两张嘴，咋说咋有理，投怀送抱八方来财，理性逻辑拒之门外，成为小丑尚不满足，引发众怒玉玉跑路😤😤😤,5431974922,TheFrankOcean,Frank.Q,四川
最有逻辑的一集,2786980637,移动硬盘福苹果,伦敦大本钟,湖北
还真不平等，毕竟有的人两腿一张，烂肉两片就能躺着赚钱,6609303827,亦坑亦怂087,亦坑亦怂087,江苏
平等是别人争取来的，是让作为弱势的一方能享受相对平等的权利，能受到尊重，而不是觉得理所应当。,2442297186,啊布居gi顾,啊布居gi顾,海南
欠shuan了,4070120311,殇成灬依,北亭,湖北
壁垒是自己造成的捏，跟咱有什么关系,3463371563,凤君子君,春日野穹啊º,吉林
我也不能接受为啥有的女生能躺着把钱赚了而我不能,4041553111,我的猫叫莱恩,我的猫叫莱恩,新疆
"大一的时候喊几个同学第一次出去玩
吃个饭，我觉得大家不太熟先aa了。
因为之前我已经搞了好几张免费电影票。
其中有个xxm回去后就各种说我坏话。
可给我气坏了。",3468879860,真正的哈斯,满地夏😄,安徽
两片烂肉拿来喂猪都嫌脏，还有脸卖这么高的价，xxn在商业行为上跟鱿鱼相比，可以说是青出于蓝而胜于蓝了。,5990560921,十里芸苔映湖心,一般路过咲夜,江苏
平等是平权，不是赚取特权，如果弱势方有了特权，那她就不是弱势方了。一边想进一步获得更多特权，一边还要强调自己是弱势方，这种一般称为既想从事特殊行业，又想树立标志性建筑。,5889593529,齐格鲁德二号机,齐格鲁德二号机,山东
3,2074851241,,迷你世界原神玩家,湖北
我感觉男女朋友花钱主要还是情绪价值重大头。我认为应该多谈谈情绪价值,3712998297,大爱翼娘,贴吧用户_59XCM3K,河北
又当又立,5965156090,张小张343,别打了投吧,广东
支持支持！男女收入成本确实不等♀发点擦边图就可以恰大米了,6605825450,,破空寒冰砍😝,湖南
你自己不会赚钱把别人也说的跟你一样，那些想认真恋爱付出的被你说的一文不值，不会赚钱哪有钱来付出？你喜欢吃屎也要逼着别人喜欢呗？什么强盗逻辑！,248491358,249020340,249020340,云南
洋大人呢,3170837058,柱国臣子,柱国臣子,山东
任何坚持性别本身的性别主义最后都会走向它的反面,2804408619,lenitav,n_o,浙江
确实，让她包了吧,2036142566,无寂之恋,无寂之恋,安徽
3,6471803511,mowenyi111,mowenyi111,四川
利己主义者是这样的,3180093506,豆瓣now,太阳下山了,河北
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
3,5196613051,,陈白琳,山东
烂裤裆,3129959925,二汪l,迷茫的小白.,阿联酋
。,3529389049,就打算订机票的,贴吧用户_54G3UCK,江苏
@辛秋02,4952167880,duzjz437373,我要拍电视剧 ,江西
a她码大斌,2023526691,,阿尔托莉雅的单曲,河南
难蚌,4878754441,,米米世界战神,北京
3,6462367483,,太空汽慕斯,江苏
3,6462367483,,太空汽慕斯,江苏
3,6462367483,,太空汽慕斯,江苏
3,6462367483,,太空汽慕斯,江苏
我觉得她的思想比较适合从事特殊行业,6359946648,Luluoyiye,luoye落叶,黑龙江
3,5760102836,炽河河河,炽河河河,甘肃
保持,3582979262,SHROUDok,SHROUDok,爱尔兰
她能思考出这套逻辑也挺癌症的,3518620457,shawshank29,Luckypig🔯,北京
3,6540666964,,守夜人手法信仰玩家,江西
3,6540666964,,守夜人手法信仰玩家,江西
3,5975832460,龚GG承辉,+3.14,江苏
3,5975832460,龚GG承辉,+3.14,江苏
3,5975832460,龚GG承辉,+3.14,江苏
3,5975832460,龚GG承辉,+3.14,江苏
3,5975832460,龚GG承辉,+3.14,江苏
3,5179269118,单杀前女友,鼠爷凌驾全场,四川
3,5179269118,单杀前女友,鼠爷凌驾全场,四川
3,4269080585,活宝啊啊啊213,超级无敌霸气暴龙战士,江苏
33,3506578997,65longloiuh,丨丁真丨,安徽
看见屎给兄弟们吃，不会直接上去骂吗？,6398245942,代111112222,贴吧用户_GyV8CQM,湖南
3,6524433367,,频声某,河北
3,6524433367,,频声某,河北
3,6524433367,,频声某,河北
3,6524433367,,频声某,河北
3,6524433367,,频声某,河北
把aa改一下，你知道我要说什么,2992451710,Ump9160110,pireerrr,辽宁
3,2664157616,qiyu2929,qi_yu,四川
3,5196709885,弊长双鱼,弊长,福建
活活不出个人样，死死不出个全尸，丫鬟的身子小姐的心，心比鞋跟高命比袜子薄，整天苟窝在黑不溜秋的泥坑里打滚，却总幻想自己出淤泥而不染的被捧在聚光灯下，主观意识上觉得自己高贵雍容，客观现实里其实一地鸡毛,3444758410,op死远点,vt初音ミク,河南
3,5511804561,,糯米丝儿r,浙江
3,4855869566,眼睛死宅EXC,眼睛死宅EXC,广东
3,4855869566,眼睛死宅EXC,眼睛死宅EXC,广东
3,4855869566,眼睛死宅EXC,眼睛死宅EXC,广东
3,4855869566,眼睛死宅EXC,眼睛死宅EXC,广东
3,4855869566,眼睛死宅EXC,眼睛死宅EXC,广东
3,6098564949,Jh180016,贴吧用户_GVEQP8V,浙江
3,6098564949,Jh180016,贴吧用户_GVEQP8V,浙江
这by的在说什么？女人挣钱比男人难？还是她提的时间成本精力成本情绪成本比男生高？她撒泼打滚没事儿找事儿也算成本是吧,339639739,度大家庭,度大家庭,北京
3,5999900072,,贴吧用户_GWKyPPA,江西
想当寄生虫就直说呗,949094962,tjpuxkp,枫落吴江冷,天津
不想他人定义自己，又把自己定义成没有能力赚钱的低等性别，波刚哲学家,4463526172,,T0怎么叫？,辽宁
确实不平等，毕竟她们是可以选择躺赚的群体,823679837,某路过的猫,某路过的猫,广东
3,3924297195,套路了自己98,啾咪咪咪～,河南
难蚌,2440923770,温柔全予薇妹,空山月,贵州
3,1934861447,,贴吧用户_QKVR4aR,广东
把她们当成会喘气的逼就行了,626211016,十倍王百万,多可歌可泣,天津
3,6103969852,阿祖_快收手吧,阿祖_快收手吧,山西
她们干脆承认女性就是比男性低等算了,3176630959,神临世day,神临世day,广东
确实不平等，两腿一张，小水一流，狠狠恰米,6338731877,芝士土拨鼠鼠鼠,芝士土拨鼠鼠,河北
3,4134371771,1562243427z,某木~,河北
+3,5928418211,,想嫁给宋亚轩,浙江
+3,5928418211,,想嫁给宋亚轩,浙江
+3,5928418211,,想嫁给宋亚轩,浙江
2,6394218891,求仙6,娇纾,河南
用b卖钱还不快啊,2771010537,我把萧再叹v,好想退休啊啊啊,湖南
消费主义的谎言,3939185040,莫得名字惹,sinkoi,北京
真是越活越牛逼，读的书不如自己的英淳厚，网上各个都是逆天发言家,5466595871,unAspirto,Asprito,福建
鸡言鸡语,1094634751,光速叛离,光速叛离,福建
知道男的赚钱更容易还天天同工同酬，瑙子被🫏提了,2720242939,犬来不慌50523,玩🚬神玩的,英国
3,6451778653,,贴吧用户_JSA3V7D,浙江
3,6451778653,,贴吧用户_JSA3V7D,浙江
3,6451778653,,贴吧用户_JSA3V7D,浙江
3,6451778653,,贴吧用户_JSA3V7D,浙江
3,6451778653,,贴吧用户_JSA3V7D,浙江
对于大多数下层打工人而言，讨论资源公平就像个笑话。然而别人不会怨天怨地，能做的只有靠自己，只有这些从出生就灌输别人要让她的人才会觉得别人欠她的。,746074303,无神论与妖鬼说,贴吧用户_0MR6UGC,广东
3,6367094694,鸡坤大王666,鸡坤大王666,河南
3,2854714828,,贴吧用户_7V79C9U,河北
生物爹给钱给少了,2263226453,,白哥和袄祝,江苏
然而，只有金钱才是男女交往中唯一能够量化的选项，唯一能够完全做到男女平等的选项。,4583008315,250290LX,荒野三条,河北
3,5535943361,白冰33564,♥❤️❤️,上海
3,3543563733,,Xttn1keN_,山东
3,3543563733,,Xttn1keN_,山东
3,3543563733,,Xttn1keN_,山东
3,3543563733,,Xttn1keN_,山东
“大方” “AA”,3520612319,好好哈暗,盖伦😾嘟嘟,上海
3,6024741434,吡啶是我,😋逆天😋,山东
🤣🤣🤣,3793448459,强迪压制一切,强迪压制一切,陕西
3,6387906024,,贴吧用户_Gy1CPZA,四川
3,2595788223,Beyond凡凡,共同渡过18,江苏
3,2595788223,Beyond凡凡,共同渡过18,江苏
3,2595788223,Beyond凡凡,共同渡过18,江苏
3,1978948387,室内系的猫,室内系的猫,江西
3,2595788223,Beyond凡凡,共同渡过18,江苏
3,5465091772,别重名了是阿秋,kimochiina,辽宁
3,5465091772,别重名了是阿秋,kimochiina,辽宁
3,5465091772,别重名了是阿秋,kimochiina,辽宁
3,5465091772,别重名了是阿秋,kimochiina,辽宁
1,1135135686,RHzhishuai,亻彳,河南
3,4542201758,闻人20,闻人20,广东
3,5432156211,海琴烟阁下,海琴烟阁下,北京
只用p就能拿钱不是要多付一点吗,1601477539,席上帷灯,席商澄,上海
3,2873373018,萌白酱啾,萌白酱哦ლ,山东
3,2902896547,Garycx的春天,Garycx的春天,安徽
3,2873373018,萌白酱啾,萌白酱哦ლ,山东
3,2598264566,xy020412,玄武道藏,云南
3,2873373018,萌白酱啾,萌白酱哦ლ,山东
3,2873373018,萌白酱啾,萌白酱哦ლ,山东
33,6487602717,DF等风工作室,白氏仙,河南
认为， 经验加三，发生了会如何，不发生又会如何。 在这种困难的抉择下，本人思来想去，寝食难安。 王阳明在不经意间这样说过，故立志者，为学之心也；为学者，立志之事也。这启发了我， 那么， 一般来讲，我们都必须务必慎重的考虑考虑。 了解清楚经验加三到底是一种怎么样的存在，是解决一切问题的关键。 在这种困难的抉择下，本人思来想去，寝食难安。 笛卡儿曾经提到过，我的努力求学没有得到别的好处，只不过是愈来愈发觉自己的无知。带着这句话，我们还要更加慎重的审视这个问题： 就我个人来说，经验加三对我的意义，不能不说非常重大。 我们都知道，只要有意义，那么就必须慎重考虑。,5664167035,落霞3775,落霞3775,湖北
那些女的屁股一扭，钱就来了，赚钱比男的快多了，赚不到，这说明你是虎式,799214257,爱追忆逝水年崋,爱追忆逝水年崋,重庆
"3
晚安、你好",6419564578,早起犯困u,跳跳糖不甜,北京
3,1584198293,天狼丶犹,什么一起努力变优秀,广东
3,1584198293,天狼丶犹,什么一起努力变优秀,广东
不是因为占不了便宜觉得吃亏了吗,2260238971,橘味麻酱,精灵魅魔,安徽
3,6583028177,注重内设非外在,⌨⌨✘⌨⌨,江苏
3,3489017392,贾斯婷的少女,贾斯婷的少女,湖南
难绷,5307715547,懵牢湿,羌族小撒,广西
3,2774350400,若汁格十,喜欢bala歌,四川
你真是把倒立玩会了，一旦戳到你的痛处你就开始倒立，用那充满智慧的邵p占据全是盈税的大脑，用倒反天罡的言论诉说自己邵13的不幸，打着独立的名号去占小便宜，不是泼妇少了，而是泼妇进城市了[表情],1797457112,我是出生9527,喜欢光速c13索尼克,河南
小仙女的逻辑有两条我印象最深，过节不送礼物就是不爱她，女生的青春比男的要珍贵，男的有两条命,578523731,龙的77,龙的77,湖南
嗯,970557168,比天空遥远遥远,落笔嫣然,吉林
这社会男人最重要的作用还是会劳动，会赚钱，会打猎，那说什么社会进步捏？还是一个吊样,6614386489,,贴吧用户_JG5CQKK,广东
3,3405716263,拯救世界424,月影枫桥缘,江苏
给她两巴掌我看她还发不发癫,6326788961,化学工业制香蕉,化学工业制香蕉,新疆
mg,3119389193,LH14493600706,LH14493600706,湖南
3,4100738230,wok这,咲绸,福建
3,3898360837,,蔡徐坤爱我,广东
3,3898360837,,蔡徐坤爱我,广东
3,3898360837,,蔡徐坤爱我,广东
3,3898360837,,蔡徐坤爱我,广东
3,3898360837,,蔡徐坤爱我,广东
习惯惹,5293986607,你的名字欧耶,你的名字欧耶,广东
🤡,3075397566,小日497,那么大鸡排Ω,广东
3,2458977333,123倍adg,泡泡茶壶,浙江
简而言之就是不想赚钱又要吸血，不愧是女厕,2307688877,,贴吧用户_7aEK7PP,江苏
3,812353618,njbianqiuping,加一勺辣油º,江苏
3,812353618,njbianqiuping,加一勺辣油º,江苏
3,812353618,njbianqiuping,加一勺辣油º,江苏
哦,2776475448,急先锋急急急,你吃榨菜吗,江苏
劈硬柴是现代人的基本修养,4579972221,takatsukineko,HoshinoAI,上海
确实逆天,2136811018,楚钦丶,嶀丶,陕西
用b换的不用A,6501526238,幻梦之匙,幻梦之匙,湖南
3,6338976468,冉冉kk789,公正🐭,山东
3,4594529462,釒鲡,吐司の幻想,山东
+3,2681379475,莱纳布朗y,兰斯xkk,江西
3,5314308383,蜈蚣37,Chame,广东
不能AA怕是只能XY了,6614449770,,贴吧用户_JGaSCbt,福建
这种想法也是顶天立地 还是找富婆好,4039932764,,久安_,福建
3,6586576272,原神玩家我来也,冥冥中有,贵州
3,6586576272,原神玩家我来也,冥冥中有,贵州
3,6586576272,原神玩家我来也,冥冥中有,贵州
这就是t0,4114835070,记住我叫九夜,牧濑红莉栖,浙江
3,2900714727,互传者,光光光光光🌞🌞,浙江
3,2900714727,互传者,光光光光光🌞🌞,浙江
3,2900714727,互传者,光光光光光🌞🌞,浙江
3,2900714727,互传者,光光光光光🌞🌞,浙江
3,5460761616,,重生之我爱玩暴雷,北京
3,5460761616,,重生之我爱玩暴雷,北京
3,5460761616,,重生之我爱玩暴雷,北京
3,5460761616,,重生之我爱玩暴雷,北京
搞快点,6337668108,李老师在打团,李老师在打团,新疆
3,2835267331,A_怪物,街边的野鬼-,福建
单走一个6,5758329019,,起飞了！！,江苏
3,1012592985,163165awd,耿郅斐丶,山东
13水反冲大脑前的最后幻想,4490241630,腻码没名字可取,这个哑巴怎么不讲话,山西
排斥AA？好解决啊，全她付不就行了还有她指的金钱获取成本天然不平等是指她两腿一张就能来钱成本很低是吗,2855611736,PYDEAIKING,超导冻咸鱼,广东
"笑死了不aa也行那ab吧
我a饭钱你ab
什么若智玩意",3785494461,123期时代,潇滤,湖南
杜小唐又发癫了,6357283986,7924ai222524,坚韧的馒头,河南
寄生虫瘾犯了,2450786358,带带赖皮蛇,带带赖皮蛇,四川
不aa也行，那就你花你的我花我的呗,276360284,syf1988107,syf1988107,上海
3,4183042185,JJaxes,JJaxes,美国
天天打拳要男女平等，aa不是很平等吗？,1458997822,愛无反顾suit,愛无反顾suit,四川
3,2345343079,,微笑面对一切🐶,新疆
说出这种浆糊话，黑哥舍她脑子里面了？,4730336391,,HAO！,四川
这女的胡说八道什么，妇女能顶半边天，它直接把女的放到弱势群体里了，这是其实！,3165968477,豆芽像成树了,豆芽长成树了,湖北
这*****的逆天言论它的脑袋是怎么琢磨出来的,1422003959,Willy_zu,追風老年人ლ,湖北
3,3939818137,,顶针方源,四川
3,3939818137,,顶针方源,四川
3,4633915114,,无敌极品少御萌妹,重庆
3333,4633915114,,无敌极品少御萌妹,重庆
3,4633915114,,无敌极品少御萌妹,重庆
3,4633915114,,无敌极品少御萌妹,重庆
是不是天生平等我不知道，天生智力确实有问题,729604154,罪恶兄弟,带魔法师梅林-,加拿大
3,5439425492,,贴吧用户_G7597yX,浙江
构思,6338248592,Gabrieeel,丝蚌汁爆饽,江苏
xhs是这样的，但周围的正常女生都是支持aa的,6432706927,zjdbxbxvd,zjdbxbxvd,河南
3,5673944477,yunsong行了,gof..k屑,广东
一直aa对于情侣来说确实太生分，不论男女真心喜欢就会为对方花钱，关键是aa不是搞性别特殊对待,4942072886,,莞心我心,湖北
女人仅有的挣钱机会也是男人让出来的，要是完全竞争关系，大家都权衡利敝，对男人来说是好事，就怕又这又那。,647896386,xzl838389,xzl838389,海南
3,6545528813,,贴吧用户_J574VCP,江西
3,6545528813,,贴吧用户_J574VCP,江西
3,6545528813,,贴吧用户_J574VCP,江西
3,1477113161,浅辰6666,陈十￴一,安徽
＋3,5413757046,lucky夜半,lucky夜半,江苏
躺着腿一叉，就顶我几个月，确实不公平,1111355706,很久没变过,爱不能太满💢,湖北
挺好,1436722652,鼠吧用户,鼠吧用户,山东
虽然女性职场我不加班，不能值夜班，每天划水刷剧下班，我要做我自己，但是社会对女性不公平,96094768,萌の戰,萌の戰,江苏
3,4600001177,Eins寻欢,陆宣,江苏
3,861663478,,   白   ,江苏
希腊奶,1544852614,冰美式味秀逗糖,你的名字我希腊奶,浙江
3,5807804173,,贴吧用户_GP7E5EP,江西
确实不平等啊，钕的有印钞机,1144862802,神威_kamui7,kamui🌌,福建
3,6552580770,,贴吧用户_J54S3V7,江西
3,1069596348,泽悲丶失静,ushioo,浙江
3,3667227518,海底菠萝猫,海底菠萝猫,江西
3,3667227518,海底菠萝猫,海底菠萝猫,江西
3,3667227518,海底菠萝猫,海底菠萝猫,江西
3,3667227518,海底菠萝猫,海底菠萝猫,江西
女人赚钱还不容易，我们这边舞厅，花点钱整个容隆个胸，放开一点sao一点，一天打底2500，晚上再去找大哥包个y，一天*****,1235701551,鸿掌门,鸿掌门,江苏
讨口子的,6547245166,Eon帆,Eon.帆,湖北
3,4680824110,华盛顿警督约翰,贴吧用户_a1ZCP49,天津
3,4680824110,华盛顿警督约翰,贴吧用户_a1ZCP49,天津
3,4680824110,华盛顿警督约翰,贴吧用户_a1ZCP49,天津
3,4680824110,华盛顿警督约翰,贴吧用户_a1ZCP49,天津
鉴定为寇都寇的,6317361138,,纯爱就是我,江苏
3,3418317819,叮当少玩手机,叮当少玩手机,河北
不AA那就CB呗,17596393635279,奖金高时代,甜甜阳阳子,广西
这时候不扯经济独立，人格独立了,1815496122,兰花锦lc,兰花锦,上海
3,3381241721,可靠的宇Cc,言叶乖，咽下去,云南
微博小红书虎扑 2个女厕所 1个男厕所，扰缠多,4112325179,姚科雷霆三少蜜,贴吧用户_5828J2N,浙江
你穷你有理,986018402,woods度百,woods度百,浙江
一边说着男女平等，一边不愿AA，，老双标狗了,1057700775,程会玩尔,乐扣喜加一,湖北
男生aa，女生ab,6541248878,沙克已干版,沙克已干版,四川
我和我对象一直都是aa……这女的喜欢白嫖还编出一套理论了，牛比啊,1649783413,baekhyun馃尮,奏明,辽宁
确实不平等，女的两腿一张男的几天的工资就搭进去了，以后应该女的来付钱,4936762522,大虾阿飞,原来我玩原神,河南
羡慕有13可卖,6584381426,sese教徒,脑部痔疮,陕西
3,5759591900,,EEEVVVEEE,浙江
蚂蟥,4112325179,姚科雷霆三少蜜,贴吧用户_5828J2N,浙江
潇穴长脑子上了，建议抹点神油长个坤，假冒男性享受男性优势，不用的时候再切了享受女性红利,5496697985,wyc20030601,百岁老奶,江苏
3,4286521059,SkT458766,八月之初四,浙江
3,6423691991,杳渺萤火,杳渺萤火,河南
又当又立捏,6533986480,kesibame,kesibame,重庆
智商的获取上也是天然不对等的,2596428972,安静的咸秋刀鱼,安静的咸秋刀鱼,河北
"事实胜于雄辩，但雌辨胜于事实，脂肪压迫了声道，大脑连接了欢乐豆，一动脑就爽死了，银地链接大脑，高朝代替思考,摘蘑菇没洗手我看是扣出幻觉了，读的书叠起来没有音醇厚，下回发言之前把紫色心情调最大档插脑子里震震，也算是说话前动了脑了",4766277490,熊傲且霸天,霸天熊,湖北
这，直接远离吧,3546082049,秋夕雨余,秋夕雨余,广东
确实不一样捏，xxn一夜赚几千块呢勤快点月入几十个w,5881148642,乃琳不许嘉然吃,七月流火丶丶丶,湖北
还不是版本t0 看着吧 慢慢和隔壁岛国一样xxn就老实了 人家欧美出去吃饭不都是aa.,1101801735,眉目亦洳婳,眉目亦洳婳,北京
这种就是纯傻，我老婆以前还不认识的时候，遇到我和朋友吃饭，经常跑去买单说请我们，我当时就觉得这个妹儿挺大方的，就经常回请，现在幸福的一匹。连aa都不a的直接爪巴,400229118,紫意傲慢,川川😂,四川
这个倒是确实，一对一出门跟男的我出钱，跟女的她出钱。三人行必不用我出钱,6592993053,完善账号信息喂,完善账号信息喂,广西
一哈,3525519409,,没有问题的啦,河南
获取异性的成本更加不对等,631546288,alesanderok,alesanderok,新加坡
一句话 菜就多练,1762043324,柚木皆守,贴吧用户_QX6P4P3,广东
这种搞出个什么理论的人，理论越“像回事儿”，就越讲越怪。无论男人还是女人，能迁就你是因为人家爱你，乐意给你花钱，花钱心里爽，不是因为你给ta讲的理论,4415783920,败兴2046,败兴2046,吉林
逆天，女的赚钱比男的付出更多怎么来的？你要说已婚的也就算了，***未婚的凭什么？,793666499,mylove3743,坚锅锅👀,浙江
确实应该这样，不过我原生家庭有问题，我赚钱难度更高一点是不是该女生请我,4960059932,,贴吧用户_ab84S63,山东
3,5086843211,hzh18620404216,3.14π,湖北
我不理解我可是很希望自己是女的，身边的女的挣钱真的比男的容易，比如我女朋友因为长得好看，找工作基本没失败过，还是挺大的公司，拜访客户基本也比我容易，去单位拜访保安都不拦，我弟的主播公司，我介绍了个长相一般的朋友过去，人家也发财了，包括走仕途，没有背景的，我身边女性都怕的更高，可能只是我身边,266091496,找回该找回的丶,找回该找回的丶,广西
噢 原来资源掠夺就是让对方请客啊,1350081317,洛环之理,玩原神被藤训抓走,北京
3,2044431096,卡哇伊的sky,卡哇伊的sky,山东
逆，后面忘了,4586405895,奶黄包大王,奶黄包大王,江苏
收入确实不平等，随便找个👻难，结完离，一年就整二十几万，👻男累死累活还得上供给xxn,2931310719,复合弓干啥子,壹太天下无双,河南
3,6528124404,,咸鱼骑马嘉祺,安徽
你问你爸当初追你妈a不a就完事了,1945071763,秦殃阿,芙宝🌧,广西
这种直接举报让他下架,995756048,3dm好顶赞,好好好啊对对对,江苏
纯纯挠缠发言,1458014657,批泼亮魔法披风,碎了碎了,江苏
寄生虫思维是这样的,1481869148,北极熊暧打喷嚏,北极熊暧打喷嚏,福建
3,2588652743,哈哈哈哈解决8,绯村萌新,浙江
+3,1613282794,可爱阿金儿,温静-,辽宁
dd,1613282794,可爱阿金儿,温静-,辽宁
其实如果真的是与工资占比相同我倒是完全能接受，就怕她们连这个都不肯,4124673942,TXWBOTTFF,TXWBOTTFF,上海
啥，比,4627484981,lzcnmdsbwrnm,贴吧用户_a4D5X4V,重庆
3,2471994156,,呆瓜戴,湖南
不是，菜就多练👐，活不起就别活👐，自己赚不到钱还让别人保养，你怎么不去死呢👐,2079278761,王辰JACK,多吃西瓜🐦,江苏
乐,1318270977,,你说得对但是我不承认,江西
额,6463973391,,永远相信gala8,河南
3,3898298986,班尼路大师,班尼路大师,内蒙古
3,2997262278,00我爱多啦A梦,呆呆瑶_,山东
作为男同也被女的这样恶心过，就是吊着直男那样吊着你，认识的女同都可以从直男那里要东西，顺直男能不能硬气一点渴p搞乱环境,6549650619,男的不能上桌,上桌吃饭的女人,福建
天生吸血鬼,4111872174,,表演型人格障碍,重庆
比别人多个13，金钱的获取成本当然不平等，卖完还能卖,4194597422,,寒_,上海
鉴定为：为自己挣钱能力的无能找借口罢了,4989925887,,撤硕霉食家,重庆
11,1415805917,夜的暗心的孤,你可爱的敌人♂,浙江
这100斤铁肯定比100斤棉花重啊 没毛病,1555438145,11max_,贴吧用户_Q91UJWQ,广东
我的评价是资本家在扒皮的时候可不看男女,1697735134,,贴吧用户_QWb7E9y,广东
+3,2750329174,,贴吧用户_72yDUtM,河北
紫色心情漏电了?,950084077,橘橘橘子7,橘橘橘子7,广西
双腿一开就有钱赚钱不比男的容易,6419477461,蜀绣岚,蜀绣岚,山东
又当又立,5471673438,,奇锐俊,江西
